"","Mmus_C57-6T_LVR_BSL_Rep1_B1","Mmus_C57-6T_LVR_BSL_Rep2_B2","Mmus_C57-6T_LVR_BSL_Rep3_B3","Mmus_C57-6T_LVR_GC_Rep1_G2","Mmus_C57-6T_LVR_GC_Rep2_G3","Mmus_C57-6T_LVR_GC_Rep3_G5","Mmus_C57-6T_LVR_FLT_Rep1_F1","Mmus_C57-6T_LVR_FLT_Rep2_F2","Mmus_C57-6T_LVR_FLT_Rep3_F4"
"ENSMUSG00000035382",812.970666258238,830.929921005518,861.701679007477,933.816792556088,756.210768830384,871.193603982427,817.330877061454,871.371740513717,766.376613466605
"ENSMUSG00000035385",10.9717171845041,23.1303267011081,8.67479068107524,8.50775435921492,11.4520998629152,42.1361973175877,45.7157200276994,11.6832779901637,3.5402910872331
"ENSMUSG00000035390",4.49247896616311,13.4905490814881,4.43997439225366,13.8084277832302,5.62551659179891,10.9772644027905,7.9231967255538,5.48940871744918,5.49965564523779
"ENSMUSG00000035392",627.919537522,738.281973758893,686.989839030134,855.491112701583,844.910496345697,1028.11283264312,1021.85814474485,1099.80828878311,934.906997535036
"ENSMUSG00000035394",1.61393935752615,2.25600314389033,1.82320709875391,3.04276302460075,6.53037278342951,2.79469787861318,0,4.17850781049973,1.44683107839432
"ENSMUSG00000035397",158.805666455488,195.984222723344,168.233633485568,181.091230556242,173.784869092499,137.493969982609,170.165875538049,259.738638094861,214.315377950614
"ENSMUSG00000035399",674.658432014079,533.296734268505,568.533849522799,524.401093585885,631.215163513185,587.811280431178,483.951153361144,611.248993958079,606.582559045336
"ENSMUSG00000035401",650.950599570543,516.227583991247,593.314929777137,663.177220176483,647.311161135276,790.919729840824,594.312726977408,600.001541296788,649.464901241445
"ENSMUSG00000035407",0.970695870815475,0.889738756865949,1.91870227620365,1.88175695005748,0.907961739890068,0,1.98925795699424,1.03366081809827,1.78955342907953
"ENSMUSG00000035413",254.296796848508,293.976497563959,363.138654707322,209.261093900765,328.152616859903,277.684054579749,319.061194062268,343.73854989485,315.731861924834
"ENSMUSG00000035437",571.549624466269,597.363844551493,638.911864300489,647.610564871915,597.069463021321,631.050563222906,683.705990911228,596.514519652193,636.249721641104
"ENSMUSG00000035439",82.4473902094651,105.172981163987,122.426361430587,85.0328343726421,138.115760052387,131.167892622585,119.271473556301,116.042329632064,105.099223786783
"ENSMUSG00000035441",616.443078482161,594.54281015932,621.376248646326,896.052027312746,782.10481237128,671.260050772922,804.302252623982,787.805021252973,869.326828721075
"ENSMUSG00000035443",372.755832248556,329.074405539124,384.303838550636,339.903078806129,340.943209094849,339.846191960219,314.822481593246,301.823016248036,327.517011208463
"ENSMUSG00000035448",0,1.90275914514159,4.10325870900612,0,2.91259511404221,6.29057280229796,3.19060966534366,2.21054281566761,0
"ENSMUSG00000035451",610.154280857516,663.459864087606,499.647857034816,593.399777165729,393.270092042104,366.682687508984,381.423325222303,337.667991095973,398.848175998423
"ENSMUSG00000035455",19.6930167068036,31.5000038631368,34.2573364344199,14.4641717890708,32.7535430374742,47.7003694460265,41.5087232348755,16.5555701144586,15.4915921481203
"ENSMUSG00000035456",8.30356132734457,3.80551754420523,2.05162895227784,6.03637222059281,1.94172969534884,2.69595924386618,3.19060903981952,2.2105443324999,6.69736383726164
"ENSMUSG00000035458",8.96211749665935,2.97584203150992,6.73317305088849,3.88660556855995,0.981820288134396,11.0921465958884,4.12891010771337,3.06860327261255,2.29677885609984
"ENSMUSG00000035459",2193.38639289305,1840.82297569691,1811.8574512363,1548.55357679402,1948.74605266395,1620.23383599216,1841.97119536644,1789.32268087178,1774.74640621363
"ENSMUSG00000035469",1790.22573814446,2151.46071623041,1947.68656816295,1969.53002174708,1901.72459888662,2255.3880219398,2399.11479025496,2157.9408353273,2267.45983939392
"ENSMUSG00000035472",290.889119321489,325.514795439957,458.665598102658,470.851533203117,393.465269842971,388.375372489798,424.994154240093,496.937519941506,450.682130813676
"ENSMUSG00000035473",4103.33733121688,4112.07890822141,4704.65896724069,4509.16287540273,4397.9164369336,3266.37777184125,4218.23791663016,4957.35874757509,5069.47983900684
"ENSMUSG00000035476",262.438488154502,255.858232314551,282.688418308926,159.53033280245,224.594939986816,375.442901231737,244.425361697228,175.262103453427,184.598864671978
"ENSMUSG00000035478",1206.28936416978,1388.78727831105,1437.74989972367,1245.37149933867,1264.836621993,1097.17240985433,1232.65456158745,1377.86558179526,1248.82525320759
"ENSMUSG00000035486",64.5096994234682,56.4496941848855,72.7429552484536,53.5565362539493,55.9613463175606,26.2301903265481,56.5002314453687,61.7354094702189,70.8965818420925
